160389	Alternaria longipes	160389	Alternaria longipes
205921	Streptococcus agalactiae A909	1311	Streptococcus agalactiae
29488	Photorhabdus luminescens	29488	Photorhabdus luminescens
449239	Fusarium graminearum GZ3639	5518	Fusarium graminearum
257310	Bordetella bronchiseptica RB50	518	Bordetella bronchiseptica
90371	Salmonella enterica subsp. enterica serovar Typhimurium	28901	Salmonella enterica
5457	Glomerella cingulata	5457	Glomerella cingulata
101162	Bipolaris oryzae	101162	Bipolaris oryzae
36746	Pseudomonas cichorii	36746	Pseudomonas cichorii
267608	Ralstonia solanacearum GMI1000	305	Ralstonia solanacearum
5482	Candida tropicalis	5482	Candida tropicalis
591946	Escherichia coli LF82	562	Escherichia coli
502800	Yersinia pseudotuberculosis YPIII	633	Yersinia pseudotuberculosis
224326	Borrelia burgdorferi B31	139	Borrelia burgdorferi
474922	Colletotrichum gloeosporioides	474922	Colletotrichum gloeosporioides
1280	Staphylococcus aureus	1280	Staphylococcus aureus
655819	Beauveria bassiana ARSEF 2860	176275	Beauveria bassiana
1202531	Verticillium dahliae JR2	27337	Verticillium dahliae
334819	Fusarium verticillioides 7600	117187	Fusarium verticillioides
84275	Cercospora kikuchii	84275	Cercospora kikuchii
96345	Flavobacterium psychrophilum	96345	Flavobacterium psychrophilum
61369	Fusarium oxysporum f. sp. melonis	5507	Fusarium oxysporum
27337	Verticillium dahliae	27337	Verticillium dahliae
680198	Streptomyces scabiei 87.22	1930	Streptomyces scabiei
29003	Cercospora nicotianae	29003	Cercospora nicotianae
575788	Vibrio tasmaniensis LGP32	212663	Vibrio tasmaniensis
67593	Phytophthora sojae	67593	Phytophthora sojae
70790	Nectria haematococca mpV	140110	Nectria haematococca
561307	Staphylococcus aureus subsp. aureus RN4220	1280	Staphylococcus aureus
5970	Exophiala dermatitidis	5970	Exophiala dermatitidis
4784	Phytophthora capsici	4784	Phytophthora capsici
284593	Candida glabrata CBS 138	5478	Candida glabrata
875330	Pseudomonas syringae pv. glycinea str. race 4	29438	Pseudomonas savastanoi
29875	Trichoderma virens	29875	Trichoderma virens
176275	Beauveria bassiana	176275	Beauveria bassiana
1441629	Pseudomonas cichorii JBC1	36746	Pseudomonas cichorii
484021	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	573	Klebsiella pneumoniae
65070	Pythium aphanidermatum	65070	Pythium aphanidermatum
40125	Bipolaris victoriae	40125	Bipolaris victoriae
