Pathogen Taxon ID	Pathogen Taxon Name	Pathogen Species Taxon ID	Pathogen Species Name	PubMed IDs
5476	Candida albicans	5476	Candida albicans	12581357;18216277;14731272;11994163;11722734;12100546;12796287;15347680;11270409;14555488;24905535;9573075;9529523;10978273;7591094;10066176;15760450;11967069;9683476;10600356;9694829;9636208;9009352;9043115;16000712;12826451;15470110;12940995;15870472;15659169;21221944;10639412;16177393;23125349;14734021;14665461;15470113;9748287;15590817;10320576;9841840;23139737;11705974;11283284;14500538;10766761;16079341;15255906;15519997;7591097;9478896;11325951;11298769;23149115;9493378;17950010;21439008;14617156;16267276;22202230;17614954;9244249;11349062;23526879;16151204;20485517;10816502;16179009;20097739;16040968;9009353;8016141;17283095;16237272;9259554;10807578;11251855;20595261;20345900;22073120;11694594;12427960;12898709;11223944;15552646;15766793;19908200;10878139;23144764;8828218;11988502;10540295;14587100;11595734;12702298;12933882;15071502;14702416;19616419;19463063;21592964;10847632;10444345;15256583;16030247;9632257;12582118;12419804;12446785;11254618;10572127;15289560;22276126;9298905;8636047;7823929;16227594;14756779;20402792;11796627;11073971;15843378;14617819;19347602;11452311;16239513;12455696;12072450;9043114;10992507;23633946;10322006;12524333;21760783;9284116;9596738;12819094;10377153;15039366;11895938;12753189;11065354;10722594;12076781;8917571;10417206;9398674;11259598;11737641;9308185;11535799;15189992;12183576;9485603;10569785;11119499;9890266;9741091;11069668;11929516;12798685;7479842;9284117;23133381
218491	Pectobacterium atrosepticum SCRI1043	29471	Pectobacterium atrosepticum	23113713
218494	Streptococcus suis P1/7	1307	Streptococcus suis	24989484;24996230
1773	Mycobacterium tuberculosis	1773	Mycobacterium tuberculosis	23431276
5811	Toxoplasma gondii	5811	Toxoplasma gondii	23658519;23144612;23209419
1307	Streptococcus suis	1307	Streptococcus suis	23465548
216597	Salmonella enterica subsp. enterica serovar Typhimurium str. SL1344	28901	Salmonella enterica	16113260;23284609;23302685
5480	Candida parapsilosis	5480	Candida parapsilosis	20974817;24922533
391295	Streptococcus suis 05ZYH33	1307	Streptococcus suis	23226442
53485	Pyrenophora teres	53485	Pyrenophora teres	11204774
5127	Fusarium fujikuroi	5127	Fusarium fujikuroi	16838785;12423021
5270	Ustilago maydis	5270	Ustilago maydis	19737102;21909277;20663961;14665454;15601825;21625538;11580841;19197359;15701800;16390450;7926737;21143319;9454647;15316079;15672821;12796306;12223194;20587773;10594825;20161717;11029697;15273296;8612587;19624748;9338961;10594035;16258033;11043465;16314447;20840600;15578222;8647387;7995519;23459172;14871948;20700446;12727886;9155019;9576944;10402430;12421320;10564490;20064064;12553933;15469512;11489122;12477796;19486294;16272431;10102363;14679309;20885997;21622903;17080091;18052888;17616735;21976020;14990260;9218789;21692877;24473076
197	Campylobacter jejuni	197	Campylobacter jejuni	23437265
36090	Globodera pallida	36090	Globodera pallida	23468621
693985	Pseudomonas savastanoi pv. savastanoi NCPPB 3335	29438	Pseudomonas savastanoi	23088618
31870	Colletotrichum graminicola	31870	Colletotrichum graminicola	17990963;19880801;23639025
340	Xanthomonas campestris pv. campestris	339	Xanthomonas campestris	25033927
5059	Aspergillus flavus	5059	Aspergillus flavus	9293005
554	Pectobacterium carotovorum	554	Pectobacterium carotovorum	21726393
5022	Leptosphaeria maculans	5022	Leptosphaeria maculans	19825554;23406519;12742061;16556221;12455691;17427816;19170874;19539773;16776292;19445597
38038	Rhynchosporium secalis	38038	Rhynchosporium secalis	10497070;9736529;12944393;7556057;15497404
431947	Porphyromonas gingivalis ATCC 33277	837	Porphyromonas gingivalis	25058444
192011	Cryptococcus neoformans A/D	5207	Cryptococcus neoformans	11703667;16299318
5466	Colletotrichum trifolii	5466	Colletotrichum trifolii	10226376
652611	Pseudomonas aeruginosa PA14	287	Pseudomonas aeruginosa	23505373
316273	Xanthomonas campestris pv. vesicatoria str. 85-10	456327	Xanthomonas euvesicatoria	25159842;23359647;23785289
573	Klebsiella pneumoniae	573	Klebsiella pneumoniae	23457627;24885329
1047171	Zymoseptoria tritici	1047171	Zymoseptoria tritici	19459949;17107817
1195885	Xanthomonas translucens pv. graminis ART-Xtg29	343	Xanthomonas translucens	23578314
1313	Streptococcus pneumoniae	1313	Streptococcus pneumoniae	23349662
1081927	Pseudomonas aeruginosa PA103	287	Pseudomonas aeruginosa	24821799
5017	Bipolaris zeicola	5017	Bipolaris zeicola	10627051;10671527;2152162;9894916;10662860;10656588;9546185;11698648;8704997;11471744;11607305;9057326;11449054;8900004
45888	Vibrio cholerae O139	666	Vibrio cholerae	7903285
199306	Coccidioides posadasii	199306	Coccidioides posadasii	16177346
701091	Bipolaris maydis C5	5016	Bipolaris maydis	16529376;20192833
383407	Xanthomonas oryzae pv. oryzicola BLS256	347	Xanthomonas oryzae	23078195
183190	Xylella fastidiosa Temecula1	2371	Xylella fastidiosa	23678891;23186359
4932	Saccharomyces cerevisiae	4932	Saccharomyces cerevisiae	9116640;11606528
5665	Leishmania mexicana	5665	Leishmania mexicana	22951982
5465	Colletotrichum orbiculare	5465	Colletotrichum orbiculare	22589729;22934563
55208	Pectobacterium wasabiae	55208	Pectobacterium wasabiae	23372695
223283	Pseudomonas syringae pv. tomato str. DC3000	251701	Pseudomonas syringae group genomosp. 3	15546361;12032338;23555744;15701698;15937188;17073302;17073301;12940984;25170934;10438746;12437299;15469508;11967070;12062102;10781092;12828637;21911370;12828636;23417089;11854524;21628629
170187	Streptococcus pneumoniae TIGR4	1313	Streptococcus pneumoniae	23437050;12207705
5462	Colletotrichum lagenaria	5462	Colletotrichum lagenaria	8672814;7500937;8953707;10755300;11605954;12744460;12481999;15597741;11487704;17542924;10501004
35717	Epichloe festucae	35717	Epichloe festucae	16517760;17041146
505235	Aspergillus fumigatus CEA10	746128	Aspergillus fumigatus	23028460;17352532
443906	Clavibacter michiganensis subsp. michiganensis NCPPB 382	28447	Clavibacter michiganensis	24940988
5507	Fusarium oxysporum	5507	Fusarium oxysporum	11310747;12492869;11251832;12694620;17722701;16091043;12228810;15668015;15020411;9450333;17302801;18705871;12172028;19161356;11929211;15470098;12845476;10755298;12695847;15387816;14977985
5563	Gloeocercospora sorghi	5563	Gloeocercospora sorghi	10587474
272952	Hyaloperonospora arabidopsidis	272952	Hyaloperonospora arabidopsidis	21911370;18198274;22194684;21628629;18165328
367830	Staphylococcus aureus subsp. aureus USA300	1280	Staphylococcus aureus	23209408
319	Pseudomonas syringae pv. phaseolicola	29438	Pseudomonas savastanoi	7873779;10485919;10880434;1666524;7949327
205918	Pseudomonas syringae pv. syringae B728a	317	Pseudomonas syringae	12615215;10781092;23516563;16942603;15828679
6326	Bursaphelenchus xylophilus	6326	Bursaphelenchus xylophilus	24918285
27358	Colletotrichum coccodes	27358	Colletotrichum coccodes	21848609
192222	Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819	197	Campylobacter jejuni	24883112
5508	Fusarium oxysporum f. cucumerinum	5507	Fusarium oxysporum	17722701
